idc,idr
16124:209186,12568650845:12568652416
16521:43698,12568653159:12568652386
16521:168745,12568653159:12568651991
16521:279085,12568653159:12568651502
16521:191284,12568653159:12568652354
16521:402934,12568653159:12568650530
16521:369672,12568653159:12568651091
16521:171091,12568653159:12568652632
16521:317539,12568653159:12568651659
16521:289557,12568653159:12568651341
16521:88488,12568653159:12568652072
16521:338118,12568653159:12568688816
16521:29357,12568653159:12568653099
16521:143038,12568653159:12568650750
16521:366749,12568653159:12568688852
16521:220287,12568653159:12568652094
16521:279915,12568653159:12568651802
16521:357512,12568653159:12568650716
16521:189224,12568653159:12568652174
16735:251831,12568653120:12568651897
16735:301631,12568653120:12568651033
16735:279650,12568653120:12568651020
16735:238882,12568653120:12568651460
16735:351356,12568653120:12568651110
16735:360404,12568653120:12568650816
16735:153801,12568653120:12568652180
16735:150673,12568653120:12568650838
16735:350072,12568653120:12568650907
16735:30862,12568653120:12568652291
16735:321281,12568653120:12568651385
16735:20095,12568653120:12568653084
18536:360031,12568652367:12568649884
18536:194338,12568652367:12568649901
18536:345615,12568652367:12568649929
18536:389691,12568652367:12568649848
18536:162394,12568652367:12569248563
18536:40115,12568652367:12568653000
18536:273619,12568652367:12568651746
18536:384455,12568652367:12569287262
18536:366148,12568652367:12568689506
18536:99131,12568652367:12568691120
18536:71177,12568652367:12569289180
18536:372537,12568652367:12568651183
18536:102362,12568652367:12568652840
18536:410451,12568652367:12568649613
18536:19507,12568652367:12568652619
18536:67501,12568652367:12569249605
18536:426980,12568652367:12568649757
18536:296048,12568652367:12569248529
19507:410451,12568652619:12568649613
19507:426980,12568652619:12568649757
19507:273619,12568652619:12568651746
19507:40115,12568652619:12568653000
19507:428783,12568652619:12568650313
19914:389520,12569250014:12569247473
19914:71026,12569250014:12569249332
19914:96436,12569250014:12569247023
19914:414682,12569250014:12569247091
19914:126131,12569250014:12569247408
19914:401777,12569250014:12569247548
19914:64093,12569250014:12569249345
19914:274804,12569250014:12569248805
19914:27677,12569250014:12569249980
19914:225161,12569250014:12569248879
19914:22133,12569250014:12569248587
19914:40321,12569250014:12569249549
19914:91209,12569250014:12569249433
19914:167473,12569250014:12569248590
19914:270428,12569250014:12578570708
20095:321281,12568653084:12568651385
20095:280324,12568653084:12568651686
20095:333997,12568653084:12568651291
20095:314527,12568653084:12568651607
20095:51782,12568653084:12568652945
20095:293114,12568653084:12568651423
22133:64093,12569248587:12569249345
22133:126131,12569248587:12569247408
22133:274804,12569248587:12569248805
22133:40321,12569248587:12569249549
22133:296385,12569248587:12569248674
22133:389520,12569248587:12569247473
22133:401777,12569248587:12569247548
22133:136207,12569248587:12569249376
22133:96436,12569248587:12569247023
22133:414682,12569248587:12569247091
22133:38488,12569248587:12569249655
22133:49897,12569248587:12569247257
22133:226383,12569248587:12569248900
22635:116583,12578571554:12578570962
22635:37719,12578571554:12578571351
22635:368572,12578571554:12568650992
22635:155262,12578571554:12577987651
22635:205304,12578571554:12577987762
22635:128564,12578571554:12577987655
22635:424769,12578571554:12577987716
22635:34934,12578571554:12577991099
24136:375113,12568653037:12568650506
24136:234439,12568653037:12568650468
24136:97441,12568653037:12568650463
24136:305274,12568653037:12568651566
24136:209761,12568653037:12568652109
24136:125672,12568653037:12568652784
24136:65169,12568653037:12568651219
24136:329974,12568653037:12568651213
24136:78028,12568653037:12568652263
24136:398823,12568653037:12568650673
24136:219980,12568653037:12568652301
24136:293114,12568653037:12568651423
24136:343227,12568653037:12568651536
24136:208237,12568653037:12568651709
24136:105283,12568653037:12568652852
24136:170332,12568653037:12568652219
24695:335778,12577990915:12578569690
24695:279259,12577990915:12578569661
24695:69063,12577990915:12578571299
24695:289732,12577990915:12578570388
24695:85715,12577990915:12578570995
24695:154988,12577990915:12578570694
26217:410451,12568652711:12568649613
26217:426980,12568652711:12568649757
26217:428783,12568652711:12568650313
26217:273619,12568652711:12568651746
26217:40115,12568652711:12568653000
26217:91209,12568652711:12569249433
27677:115366,12569249980:12569249360
27677:71026,12569249980:12569249332
27677:303889,12569249980:12569248457
27677:225161,12569249980:12569248879
27677:239608,12569249980:12569248133
27677:175786,12569249980:12569248279
27677:106326,12569249980:12569248265
29357:88488,12568653099:12568652072
29357:143038,12568653099:12568650750
29357:314527,12568653099:12568651607
29357:357512,12568653099:12568650716
29357:220287,12568653099:12568652094
29357:323513,12568653099:12568650132
29357:265973,12568653099:12568651847
29357:369672,12568653099:12568651091
29357:421673,12568653099:12568650178
29357:51782,12568653099:12568652945
29357:169803,12568653099:12568652452
29357:43698,12568653099:12568652386
29357:325093,12568653099:12568650428
29357:333997,12568653099:12568651291
29357:261104,12568653099:12568651978
29357:252293,12568653099:12568651860
29357:279085,12568653099:12568651502
29357:381312,12568653099:12568650394
29357:69935,12568653099:12568652932
29357:402934,12568653099:12568650530
29357:280324,12568653099:12568651686
30862:153801,12568652291:12568652180
30862:350072,12568652291:12568650907
30862:437448,12568652291:12568650086
30862:299481,12568652291:12568651643
30862:351356,12568652291:12568651110
30862:206648,12568652291:12568649562
30862:238882,12568652291:12568651460
30862:279650,12568652291:12568651020
30862:301631,12568652291:12568651033
30862:260383,12568652291:12568651956
30862:431790,12568652291:12568649498
30862:251831,12568652291:12568651897
30862:139026,12568652291:12568649538
30862:150977,12568652291:12568652251
30862:222838,12568652291:12568652156
30862:197704,12568652291:12568649582
30862:211957,12568652291:12568652019
30862:61054,12568652291:12569249575
30862:173589,12568652291:12569249100
32717:212993,12569249645:12569248981
32717:142810,12569249645:12569249163
32717:47029,12569249645:12569249502
32717:151263,12569249645:12569249215
32717:376468,12569249645:12569247986
32717:348244,12569249645:12569248239
32717:345710,12569249645:12569247574
32717:85488,12569249645:12569249615
32717:230879,12569249645:12569247601
32717:134512,12569249645:12568652337
32717:114994,12569249645:12569249405
34934:138816,12577991099:12577990242
34934:155262,12577991099:12577987651
34934:128564,12577991099:12577987655
34934:424769,12577991099:12577987716
34934:205304,12577991099:12577987762
34934:167663,12577991099:12577990607
34934:116583,12577991099:12578570962
37719:246333,12578571351:12578570737
37719:116583,12578571351:12578570962
37719:368572,12578571351:12568650992
38488:136207,12569249655:12569249376
38488:226383,12569249655:12569248900
38488:296385,12569249655:12569248674
38488:167473,12569249655:12569248590
38488:64093,12569249655:12569249345
38555:350727,12568652768:12568651257
38555:101204,12568652768:12568652751
40115:273619,12568653000:12568651746
40115:360031,12568653000:12568649884
40115:345615,12568653000:12568649929
40115:194338,12568653000:12568649901
40115:426980,12568653000:12568649757
40115:389691,12568653000:12568649848
40115:410451,12568653000:12568649613
40115:102362,12568653000:12568652840
40115:103639,12568653000:12568652732
40115:372537,12568653000:12568651183
40115:162394,12568653000:12569248563
40115:71177,12568653000:12569289180
40115:218449,12568653000:12569288606
40317:60529,12568652486:12568652680
40317:263200,12568652486:12568690632
40317:230680,12568652486:12568690973
40321:296385,12569249549:12569248674
40321:64093,12569249549:12569249345
40321:126131,12569249549:12569247408
40321:401777,12569249549:12569247548
40321:389520,12569249549:12569247473
40321:167473,12569249549:12569248590
40321:49897,12569249549:12569247257
40321:398121,12569249549:12569247221
40321:136207,12569249549:12569249376
40321:96436,12569249549:12569247023
40321:414682,12569249549:12569247091
40321:226383,12569249549:12569248900
41038:197704,12568652456:12568649582
41038:139026,12568652456:12568649538
41038:206648,12568652456:12568649562
41038:431790,12568652456:12568649498
41038:299481,12568652456:12568651643
41038:260383,12568652456:12568651956
41038:114994,12568652456:12569249405
41038:211957,12568652456:12568652019
41038:348244,12568652456:12569248239
41038:437448,12568652456:12568650086
41038:150977,12568652456:12568652251
41038:350072,12568652456:12568650907
41038:85488,12568652456:12569249615
42918:154867,12568652793:12568652427
42918:170332,12568652793:12568652219
42918:98797,12568652793:12568652573
42918:123013,12568652793:12568652695
42918:343227,12568652793:12568651536
42918:78028,12568652793:12568652263
42918:219980,12568652793:12568652301
42918:249875,12568652793:12568652049
42918:290772,12568652793:12568651780
42918:375113,12568652793:12568650506
42918:305274,12568652793:12568651566
42918:234439,12568652793:12568650468
42918:97441,12568652793:12568650463
43698:369672,12568652386:12568651091
43698:168745,12568652386:12568651991
43698:279085,12568652386:12568651502
43698:191284,12568652386:12568652354
43698:402934,12568652386:12568650530
43698:171091,12568652386:12568652632
43698:317539,12568652386:12568651659
43698:88488,12568652386:12568652072
43698:143038,12568652386:12568650750
43698:289557,12568652386:12568651341
43698:357512,12568652386:12568650716
43698:220287,12568652386:12568652094
43698:325093,12568652386:12568650428
43698:338118,12568652386:12568688816
43698:366749,12568652386:12568688852
43698:381312,12568652386:12568650394
43698:421673,12568652386:12568650178
46790:88965,12578571409:12578571088
46790:227705,12578571409:12578570405
46790:186431,12578571409:12578570903
46790:89603,12578571409:12578612388
46907:134512,12568652553:12568652337
46907:84576,12568652553:12568652877
46907:428783,12568652553:12568650313
46907:376468,12568652553:12569247986
46907:187050,12568652553:12568652136
46907:106326,12568652553:12569248265
46907:91209,12568652553:12569249433
46907:47029,12568652553:12569249502
46907:175786,12568652553:12569248279
46907:142810,12568652553:12569249163
46907:212993,12568652553:12569248981
46907:151263,12568652553:12569249215
46907:225161,12568652553:12569248879
47029:142810,12569249502:12569249163
47029:151263,12569249502:12569249215
47029:376468,12569249502:12569247986
47029:134512,12569249502:12568652337
47029:345710,12569249502:12569247574
47029:230879,12569249502:12569247601
47029:84576,12569249502:12568652877
47029:85488,12569249502:12569249615
47029:225161,12569249502:12569248879
47029:106326,12569249502:12569248265
47029:171060,12569249502:12569249057
47029:175786,12569249502:12569248279
48412:211605,12578570568:12578568881
48412:163653,12578570568:12578568878
48412:345905,12578570568:12578568893
48412:49833,12578570568:12578568929
48412:89603,12578570568:12578612388
48412:230195,12578570568:12569288330
48412:142669,12578570568:12569288943
48412:295068,12578570568:12569287498
48412:104018,12578570568:12569288834
49059:104018,12569289465:12569288834
49059:71177,12569289465:12569289180
49059:434827,12569289465:12569246965
49833:89603,12578568929:12578612388
49833:85554,12578568929:12578611902
49833:104018,12578568929:12569288834
49833:227705,12578568929:12578570405
49833:88965,12578568929:12578571088
49833:230195,12578568929:12569288330
49897:401777,12569247257:12569247548
49897:171060,12569247257:12569249057
49897:389520,12569247257:12569247473
49897:274804,12569247257:12569248805
49897:126131,12569247257:12569247408
49897:368572,12569247257:12568650992
49897:96436,12569247257:12569247023
49897:414682,12569247257:12569247091
49897:64093,12569247257:12569249345
49897:230879,12569247257:12569247601
49897:296385,12569247257:12569248674
49897:226383,12569247257:12569248900
49897:345710,12569247257:12569247574
49897:136207,12569247257:12569249376
51782:333997,12568652945:12568651291
51782:314527,12568652945:12568651607
51782:169803,12568652945:12568652452
51782:280324,12568652945:12568651686
51782:220287,12568652945:12568652094
51782:88488,12568652945:12568652072
51782:265973,12568652945:12568651847
51782:323513,12568652945:12568650132
51782:69935,12568652945:12568652932
51782:321281,12568652945:12568651385
51782:421673,12568652945:12568650178
54017:99131,12568652864:12568691120
54017:389691,12568652864:12568649848
54017:345615,12568652864:12568649929
54017:194338,12568652864:12568649901
54017:372537,12568652864:12568651183
54017:264958,12568652864:12568651939
54017:215076,12568652864:12568690758
54017:366148,12568652864:12568689506
54017:360031,12568652864:12568649884
54017:107781,12568652864:12568691312
54017:263200,12568652864:12568690632
57217:336765,12577988643:12577989558
57217:328197,12577988643:12577989373
60529:263200,12568652680:12568690632
60529:107781,12568652680:12568691312
60529:230680,12568652680:12568690973
60529:264958,12568652680:12568651939
61054:437448,12569249575:12568650086
61054:299481,12569249575:12568651643
61054:114994,12569249575:12569249405
61054:348244,12569249575:12569248239
61054:209186,12569249575:12568652416
61054:206648,12569249575:12568649562
61054:139026,12569249575:12568649538
62416:83061,12568691351:12568691421
62416:366749,12568691351:12568688852
62416:338118,12568691351:12568688816
62416:341864,12568691351:12568689581
62416:279915,12568691351:12568651802
62416:414954,12568691351:12568688675
62416:289557,12568691351:12568651341
62416:105569,12568691351:12568688598
62416:317539,12568691351:12568651659
64093:167473,12569249345:12569248590
64093:126131,12569249345:12569247408
64093:274804,12569249345:12569248805
64093:389520,12569249345:12569247473
64093:296385,12569249345:12569248674
64093:401777,12569249345:12569247548
64093:96436,12569249345:12569247023
64093:414682,12569249345:12569247091
64093:136207,12569249345:12569249376
64093:398121,12569249345:12569247221
64093:226383,12569249345:12569248900
65169:398823,12568651219:12568650673
65169:125672,12568651219:12568652784
65169:209761,12568651219:12568652109
65169:305274,12568651219:12568651566
65169:208237,12568651219:12568651709
65169:70619,12568651219:12577990894
65169:234439,12568651219:12568650468
65169:375113,12568651219:12568650506
65169:97441,12568651219:12568650463
65169:230736,12568651219:12577989258
65169:243111,12568651219:12577989252
65169:219980,12568651219:12568652301
65169:327406,12568651219:12568651586
67501:296048,12569249605:12569248529
67501:384455,12569249605:12569287262
67501:230680,12569249605:12568690973
67501:162394,12569249605:12569248563
67501:259155,12569249605:12569287985
67501:179349,12569249605:12569288867
67501:408840,12569249605:12569286880
67501:263200,12569249605:12568690632
67501:286236,12569249605:12569248412
67501:153993,12569249605:12569249323
67501:398088,12569249605:12569247689
67501:353267,12569249605:12569247937
67501:381565,12569249605:12569247323
67501:108534,12569249605:12569247268
69063:279259,12578571299:12578569661
69063:295068,12578571299:12569287498
69063:335778,12578571299:12578569690
69063:70724,12578571299:12578571055
69063:218449,12578571299:12569288606
69935:265973,12568652932:12568651847
69935:261104,12568652932:12568651978
69935:323513,12568652932:12568650132
69935:169803,12568652932:12568652452
69935:421673,12568652932:12568650178
69935:357512,12568652932:12568650716
69935:252293,12568652932:12568651860
69935:381312,12568652932:12568650394
69935:325093,12568652932:12568650428
69935:143038,12568652932:12568650750
69935:314527,12568652932:12568651607
70619:398823,12577990894:12568650673
70619:329974,12577990894:12568651213
70619:125672,12577990894:12568652784
70619:327406,12577990894:12568651586
70619:208237,12577990894:12568651709
70619:243111,12577990894:12577989252
70619:209761,12577990894:12568652109
70619:230736,12577990894:12577989258
70619:196294,12577990894:12577990283
70619:305274,12577990894:12568651566
70724:128526,12578571055:12578571003
70724:186431,12578571055:12578570903
70724:295068,12578571055:12569287498
71026:270428,12569249332:12578570708
71177:218449,12569289180:12569288606
71177:434827,12569289180:12569246965
71177:127659,12569289180:12569246999
71177:295068,12569289180:12569287498
71177:353267,12569289180:12569247937
71177:162394,12569289180:12569248563
71177:384455,12569289180:12569287262
71177:273619,12569289180:12568651746
71177:398088,12569289180:12569247689
71177:215823,12569289180:12568690988
76246:215076,12568691521:12568690758
76246:264958,12568691521:12568651939
76246:292471,12568691521:12568690321
76246:291403,12568691521:12568690355
76246:105569,12568691521:12568688598
76246:349010,12568691521:12568689951
76246:414954,12568691521:12568688675
76246:341864,12568691521:12568689581
76246:233800,12568691521:12568688223
76659:186431,12578570608:12578570903
76659:88965,12578570608:12578571088
76659:227705,12578570608:12578570405
76659:89603,12578570608:12578612388
78028:343227,12568652263:12568651536
78028:375113,12568652263:12568650506
78028:97441,12568652263:12568650463
78028:170332,12568652263:12568652219
78028:234439,12568652263:12568650468
78028:98797,12568652263:12568652573
78028:293114,12568652263:12568651423
78028:305274,12568652263:12568651566
78028:89656,12568652263:12568652602
78028:154867,12568652263:12568652427
78028:219980,12568652263:12568652301
78028:125672,12568652263:12568652784
78028:123013,12568652263:12568652695
78028:105283,12568652263:12568652852
78028:84576,12568652263:12568652877
83061:341864,12568691421:12568689581
83061:338118,12568691421:12568688816
83061:414954,12568691421:12568688675
83061:366749,12568691421:12568688852
83061:105569,12568691421:12568688598
83061:289557,12568691421:12568651341
83061:317539,12568691421:12568651659
83061:279915,12568691421:12568651802
83061:168745,12568691421:12568651991
84576:134512,12568652877:12568652337
84576:376468,12568652877:12569247986
84576:142810,12568652877:12569249163
84576:212993,12568652877:12569248981
84576:343227,12568652877:12568651536
84576:170332,12568652877:12568652219
84576:238882,12568652877:12568651460
84576:98797,12568652877:12568652573
84576:187050,12568652877:12568652136
84576:151263,12568652877:12569249215
85488:150977,12569249615:12568652251
85488:348244,12569249615:12569248239
85488:260383,12569249615:12568651956
85488:114994,12569249615:12569249405
85488:197704,12569249615:12568649582
85488:142810,12569249615:12569249163
85488:206648,12569249615:12568649562
85488:212993,12569249615:12569248981
85488:376468,12569249615:12569247986
85488:209186,12569249615:12568652416
85488:139026,12569249615:12568649538
85488:299481,12569249615:12568651643
85488:437448,12569249615:12568650086
85488:431790,12569249615:12568649498
85488:211957,12569249615:12568652019
85488:134512,12569249615:12568652337
85554:89603,12578611902:12578612388
85554:345905,12578611902:12578568893
85554:163653,12578611902:12578568878
85554:211605,12578611902:12578568881
85554:104018,12578611902:12569288834
85715:289732,12578570995:12578570388
85715:154988,12578570995:12578570694
85715:335778,12578570995:12578569690
85715:279259,12578570995:12578569661
88488:220287,12568652072:12568652094
88488:314527,12568652072:12568651607
88488:279085,12568652072:12568651502
88488:369672,12568652072:12568651091
88488:143038,12568652072:12568650750
88488:333997,12568652072:12568651291
88488:323513,12568652072:12568650132
88488:357512,12568652072:12568650716
88488:402934,12568652072:12568650530
88488:265973,12568652072:12568651847
88488:169803,12568652072:12568652452
88488:421673,12568652072:12568650178
88488:171091,12568652072:12568652632
88488:280324,12568652072:12568651686
88488:168745,12568652072:12568651991
88488:191284,12568652072:12568652354
88488:189224,12568652072:12568652174
88488:325093,12568652072:12568650428
88965:186431,12578571088:12578570903
88965:89603,12578571088:12578612388
88965:345905,12578571088:12578568893
88965:163653,12578571088:12578568878
88965:211605,12578571088:12578568881
89603:345905,12578612388:12578568893
89603:163653,12578612388:12578568878
89603:211605,12578612388:12578568881
89603:227705,12578612388:12578570405
89603:186431,12578612388:12578570903
89603:104018,12578612388:12569288834
89656:154867,12568652602:12568652427
89656:98797,12568652602:12568652573
89656:123013,12568652602:12568652695
89656:170332,12568652602:12568652219
89656:343227,12568652602:12568651536
89656:219980,12568652602:12568652301
89656:249875,12568652602:12568652049
89656:290772,12568652602:12568651780
91209:225161,12569249433:12569248879
91209:106326,12569249433:12569248265
91209:175786,12569249433:12569248279
91209:428783,12569249433:12568650313
91209:414682,12569249433:12569247091
91209:96436,12569249433:12569247023
96436:389520,12569247023:12569247473
96436:126131,12569247023:12569247408
96436:401777,12569247023:12569247548
96436:225161,12569247023:12569248879
96436:171060,12569247023:12569249057
96436:274804,12569247023:12569248805
96436:398121,12569247023:12569247221
96436:167473,12569247023:12569248590
96436:151263,12569247023:12569249215
96436:230879,12569247023:12569247601
96436:345710,12569247023:12569247574
96436:296385,12569247023:12569248674
97441:293114,12568650463:12568651423
97441:105283,12568650463:12568652852
97441:343227,12568650463:12568651536
97441:209761,12568650463:12568652109
97441:219980,12568650463:12568652301
97441:305274,12568650463:12568651566
97441:170332,12568650463:12568652219
97441:125672,12568650463:12568652784
97441:329974,12568650463:12568651213
97441:98797,12568650463:12568652573
97441:321281,12568650463:12568651385
97441:398823,12568650463:12568650673
97441:154867,12568650463:12568652427
98797:154867,12568652573:12568652427
98797:123013,12568652573:12568652695
98797:343227,12568652573:12568651536
98797:219980,12568652573:12568652301
98797:375113,12568652573:12568650506
98797:234439,12568652573:12568650468
98797:238882,12568652573:12568651460
99131:366148,12568691120:12568689506
99131:389691,12568691120:12568649848
99131:194338,12568691120:12568649901
99131:345615,12568691120:12568649929
99131:263200,12568691120:12568690632
99131:230680,12568691120:12568690973
99131:360031,12568691120:12568649884
99131:107781,12568691120:12568691312
99131:259155,12568691120:12569287985
99131:372537,12568691120:12568651183
99131:215076,12568691120:12568690758
101204:350727,12568652751:12568651257
101204:251061,12568652751:12568651910
102362:103639,12568652840:12568652732
102362:372537,12568652840:12568651183
102362:389691,12568652840:12568649848
102362:345615,12568652840:12568649929
102362:360031,12568652840:12568649884
102362:194338,12568652840:12568649901
102362:273619,12568652840:12568651746
103639:372537,12568652732:12568651183
103639:345615,12568652732:12568649929
103639:360031,12568652732:12568649884
103639:389691,12568652732:12568649848
103639:194338,12568652732:12568649901
103639:273619,12568652732:12568651746
103639:426980,12568652732:12568649757
104018:230195,12569288834:12569288330
104018:211605,12569288834:12578568881
104018:163653,12569288834:12578568878
104018:345905,12569288834:12578568893
104018:142669,12569288834:12569288943
105283:293114,12568652852:12568651423
105283:321281,12568652852:12568651385
105283:234439,12568652852:12568650468
105283:375113,12568652852:12568650506
105283:280324,12568652852:12568651686
105283:209761,12568652852:12568652109
105283:343227,12568652852:12568651536
105569:341864,12568688598:12568689581
105569:317539,12568688598:12568651659
105569:289557,12568688598:12568651341
105569:338118,12568688598:12568688816
105569:233800,12568688598:12568688223
105569:366749,12568688598:12568688852
105569:442526,12568688598:12568688154
105569:139261,12568688598:12568691209
105569:291403,12568688598:12568690355
106326:303889,12569248265:12569248457
106326:225161,12569248265:12569248879
106326:115366,12569248265:12569249360
106326:239608,12569248265:12569248133
106326:151263,12569248265:12569249215
106326:153993,12569248265:12569249323
106326:212993,12569248265:12569248981
106326:428783,12569248265:12568650313
107781:263200,12568691312:12568690632
107781:215076,12568691312:12568690758
107781:230680,12568691312:12568690973
107781:264958,12568691312:12568651939
108534:286236,12569247268:12569248412
108534:153993,12569247268:12569249323
108534:296048,12569247268:12569248529
108534:239608,12569247268:12569248133
114994:260383,12569249405:12568651956
114994:209186,12569249405:12568652416
114994:197704,12569249405:12568649582
114994:299481,12569249405:12568651643
114994:206648,12569249405:12568649562
114994:139026,12569249405:12568649538
114994:150977,12569249405:12568652251
114994:437448,12569249405:12568650086
114994:431790,12569249405:12568649498
114994:211957,12569249405:12568652019
115366:239608,12569249360:12569248133
115366:175786,12569249360:12569248279
115366:225161,12569249360:12569248879
115366:153993,12569249360:12569249323
115366:398088,12569249360:12569247689
115366:286236,12569249360:12569248412
116583:368572,12578570962:12568650992
116583:155262,12578570962:12577987651
116583:128564,12578570962:12577987655
116583:205304,12578570962:12577987762
116583:424769,12578570962:12577987716
116583:138816,12578570962:12577990242
119723:270428,12578571191:12578570708
123013:154867,12568652695:12568652427
123013:170332,12568652695:12568652219
123013:343227,12568652695:12568651536
123013:219980,12568652695:12568652301
123013:290772,12568652695:12568651780
125672:305274,12568652784:12568651566
125672:329974,12568652784:12568651213
125672:398823,12568652784:12568650673
125672:209761,12568652784:12568652109
125672:208237,12568652784:12568651709
125672:234439,12568652784:12568650468
125672:375113,12568652784:12568650506
125672:219980,12568652784:12568652301
125672:327406,12568652784:12568651586
126131:389520,12569247408:12569247473
126131:274804,12569247408:12569248805
126131:401777,12569247408:12569247548
126131:167473,12569247408:12569248590
126131:414682,12569247408:12569247091
126131:296385,12569247408:12569248674
126131:398121,12569247408:12569247221
126131:136207,12569247408:12569249376
126131:171060,12569247408:12569249057
127659:353267,12569246999:12569247937
127659:139222,12569246999:12569249314
127659:398088,12569246999:12569247689
127659:142669,12569246999:12569288943
127659:218449,12569246999:12569288606
127659:326688,12569246999:12569248354
127659:230195,12569246999:12569288330
127659:384455,12569246999:12569287262
127659:295068,12569246999:12569287498
127659:162394,12569246999:12569248563
128526:200358,12578571003:12578028682
128564:138816,12577987655:12577990242
128564:167663,12577987655:12577990607
128564:210060,12577987655:12577989983
134512:376468,12568652337:12569247986
134512:142810,12568652337:12569249163
134512:212993,12568652337:12569248981
134512:151263,12568652337:12569249215
134512:345710,12568652337:12569247574
134512:230879,12568652337:12569247601
134512:187050,12568652337:12568652136
134512:343227,12568652337:12568651536
136207:226383,12569249376:12569248900
136207:296385,12569249376:12569248674
136207:167473,12569249376:12569248590
136207:274804,12569249376:12569248805
136207:230879,12569249376:12569247601
136207:345710,12569249376:12569247574
136207:389520,12569249376:12569247473
136207:171060,12569249376:12569249057
136207:401777,12569249376:12569247548
136207:398121,12569249376:12569247221
138816:167663,12577990242:12577990607
138816:424769,12577990242:12577987716
138816:155262,12577990242:12577987651
138816:205304,12577990242:12577987762
138816:210060,12577990242:12577989983
139026:209186,12568649538:12568652416
139026:299481,12568649538:12568651643
139026:260383,12568649538:12568651956
139026:211957,12568649538:12568652019
139026:437448,12568649538:12568650086
139026:350072,12568649538:12568650907
139026:150977,12568649538:12568652251
139026:348244,12568649538:12569248239
139026:351356,12568649538:12568651110
139026:153801,12568649538:12568652180
139222:326688,12569249314:12569248354
139222:346156,12569249314:12569248194
139222:410161,12569249314:12569247177
139222:353267,12569249314:12569247937
139222:434827,12569249314:12569246965
